 4090 (Cont.),,,,  FORM CMS-2552-10,,,,,,08-11,
RECLASSIFICATION AND ADJUSTMENT OF TRIAL BALANCE OF EXPENSES,,,,, PROVIDER CCN:,, PERIOD:,, WORKSHEET A,,
,,,,,,, FROM ____________,,,,
,,,,, ________________,, TO _______________,,,,
,,,,,,,RECLASSIFIED,,NET EXPENSES,,
,,COST CENTER DESCRIPTIONS,,,TOTAL,RECLASSIFI-,TRIAL BALANCE,,FOR ALLOCATION,,
,,(omit cents),SALARIES,OTHER,(col. 1 + col. 2),CATIONS,(col. 3 � col. 4),ADJUSTMENTS,(col. 5 � col. 6),,
,,,1,2,3,4,5,6,7,,
,,SUBSECT_NAME:ANCILLARY SERVICE COST CENTERS, , , , , , , ,,
50 ,05000, Operating Room,,,,,,,,50 ,
51 ,05100, Recovery Room,,,,,,,,51 ,
52 ,05200, Labor Room and Delivery Room,,,,,,,,52 ,
53 ,05300, Anesthesiology,,,,,,,,53 ,
54 ,05400, Radiology-Diagnostic,,,,,,,,54 ,
55 ,05500, Radiology-Therapeutic,,,,,,,,55 ,
56 ,05600, Radioisotope,,,,,,,,56 ,
57 ,05700, Computed Tomography (CT) Scan,,,,,,,,57 ,
58 ,05800, Magnetic Resonance Imaging (MRI),,,,,,,,58 ,
59 ,05900, Cardiac Catheterization,,,,,,,,59 ,
60 ,06000, Laboratory,,,,,,,,60 ,
61 ,06100, PBP Clinical Laboratory Services-Program Only, , , , , , , ,61 ,
62 ,06200, Whole Blood & Packed Red Blood Cells,,,,,,,,62 ,
63 ,06300," Blood Storing, Processing, & Trans.",,,,,,,,63 ,
64 ,06400, Intravenous Therapy,,,,,,,,64 ,
65 ,06500, Respiratory Therapy,,,,,,,,65 ,
66 ,06600, Physical Therapy,,,,,,,,66 ,
67 ,06700, Occupational Therapy,,,,,,,,67 ,
68 ,06800, Speech Pathology,,,,,,,,68 ,
69 ,06900, Electrocardiology,,,,,,,,69 ,
70 ,07000, Electroencephalography,,,,,,,,70 ,
71 ,07100, Medical Supplies Charged to Patients,,,,,,,,71 ,
72 ,07200, Implantable Devices Charged to Patients,,,,,,,,72 ,
73 ,07300, Drugs Charged to Patients,,,,,,,,73 ,
74 ,07400, Renal Dialysis,,,,,,,,74 ,
75 ,07500, ASC (Non-Distinct Part),,,,,,,,75 ,
76 ,, Other Ancillary (specify),,,,,,,,76 ,
,,SUBSECT_NAME:OUTPATIENT SERVICE COST CENTERS, , , , , , , ,,
88 ,08800, Rural Health Clinic (RHC),,,,,,,,88 ,
89 ,08900, Federally Qualified Health Center (FQHC),,,,,,,,89 ,
90 ,09000, Clinic,,,,,,,,90 ,
91 ,09100, Emergency,,,,,,,,91 ,
92 ,09200, Observation Beds, , , , , , , ,92 ,
93 ,, Other Outpatient Service (specify),,,,,,,,93 ,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
"FORM CMS-2552-10 (08/2011)  (INSTRUCTIONS FOR THIS WORKSHEET ARE PUBLISHED IN CMS PUB. 15-II, SECTION 4013)",,,,,,,,,,,
Rev. 2,,,,,,,,,,                 40-525,
4090 (Cont.),,,,  FORM CMS-2552-10,,,,,,08-11,
RECLASSIFICATION AND ADJUSTMENT OF TRIAL BALANCE OF EXPENSES,,,,, PROVIDER CCN:,, PERIOD:,, WORKSHEET A,,
,,,,,,, FROM ____________,,,,
,,,,, ________________,, TO _______________,,,,
,,,,,,,RECLASSIFIED,,NET EXPENSES,,
,,COST CENTER DESCRIPTIONS,,,TOTAL,RECLASSIFI-,TRIAL BALANCE,,FOR ALLOCATION,,
,,(omit cents),SALARIES,OTHER,(col. 1 + col. 2),CATIONS,(col. 3 � col. 4),ADJUSTMENTS,(col. 5 � col. 6),,
,,,1,2,3,4,5,6,7,,
,,SUBSECT_NAME:OTHER REIMBURSABLE COST CENTERS, , , , , , , ,,
94 ,09400, Home Program Dialysis,,,,,,,,94 ,
95 ,09500, Ambulance Services,,,,,,,,95 ,
96 ,09600, Durable Medical Equipment-Rented,,,,,,,,96 ,
97 ,09700, Durable Medical Equipment-Sold,,,,,,,,97 ,
98 ,, Other Reimbursable (specify),,,,,,,,98 ,
99 ,, Outpatient Rehabilitation Provider (specify),,,,,,,,99 ,
100 ,10000, Intern-Resident Service (not appvd. tchng. prgm.),,,,,,,,100 ,
101 ,10100, Home Health Agency,,,,,,,,101 ,
,,SUBSECT_NAME:SPECIAL PURPOSE COST CENTERS, , , , , , , ,,
105 ,10500, Kidney Acquisition,,,,,,,,105 ,
106 ,10600, Heart Acquisition,,,,,,,,106 ,
107 ,10700, Liver Acquisition,,,,,,,,107 ,
108 ,10800, Lung Acquisition,,,,,,,,108 ,
109 ,10900, Pancreas Acquisition,,,,,,,,109 ,
110 ,11000, Intestinal Acquisition,,,,,,,,110 ,
111 ,11100, Islet Acquisition,,,,,,,,111 ,
112 ,, Other Organ Acquisition (specify),,,,,,,,112 ,
113 ,11300, Interest Expense, ,,,,,,- 0 -,113 ,
114 ,11400, Utilization Review-SNF,,,,,,,- 0 -,114 ,
115 ,11500, Ambulatory Surgical Center (Distinct Part),,,,,,,,115 ,
116 ,11600, Hospice,,,,,,,,116 ,
117 ,, Other Special Purpose (specify),,,,,,,,117 ,
118 , , SUBTOTALS (sum of lines 1-117),,,,,,,,118 ,
,,SUBSECT_NAME:NONREIMBURSABLE COST CENTERS, , , , , , , ,,
190 ,19000," Gift, Flower, Coffee Shop, & Canteen",,,,,,,,190 ,
191 ,19100, Research,,,,,,,,191 ,
192 ,19200, Physicians' Private Offices,,,,,,,,192 ,
193 ,19300, Nonpaid Workers,,,,,,,,193 ,
194 ,, Other Nonreimbursable (specify),,,,,,,,194 ,
200 , , TOTAL (sum of lines 118-199), , , ,- 0 -, , , ,200 ,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
"FORM CMS-2552-10 (08/2011)  (INSTRUCTIONS FOR THIS WORKSHEET ARE PUBLISHED IN CMS PUB. 15-II, SECTION 4013)",,,,,,,,,,,
40-526,,,,,,,,,,Rev. 2,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
