RECLASSIFICATION AND ADJUSTMENT OF TRIAL BALANCE OF EXPENSES,,,,,PROVIDER NO.:,,PERIOD:,,WORKSHEET A,,
,,,,,,,FROM ____________,,,,
,,,,,_,,TO ___________,,,,
,,,,,,,RECLASSIFIED,,NET EXPENSES,,
,,COST CENTER DESCRIPTIONS,,,TOTAL,RECLASSIFI-,TRIAL BALANCE,,FOR ALLOCATION,,
,,(omit cents),SALARIES,OTHER,(col. 1 + col. 2),CATIONS,(col. 3 � col. 4),ADJUSTMENTS,(col. 5 � col. 6),,
,,,1,2,3,4,5,6,7,,
70 , 7000,Intern-Resident Service (not appvd. tchng. prgm.),,,,,,,,70 ,
71 , 7100,Home Health Agency,,,,,,,,71 ,
,,SUBSECT_NAME:SPECIAL PURPOSE COST CENTERS, , , , , , , ,,
82 , 8200,Lung Acquisition,,,,,,,,82 ,
83 , 8300,Kidney Acquisition,,,,,,,,83 ,
84 , 8400,Liver Acquisition,,,,,,,,84 ,
85 , 8500,Heart Acquisition,,,,,,,,85 ,
86 ,,Other Organ Acquisition (specify),,,,,,,,86 ,
88 , 8800,Interest Expense, ,,,,,,- 0 -,88 ,
89 , 8900,Utilization Review-SNF,,,,,,,- 0 -,89 ,
90 , 9000,Other Capital-Related Costs (see instructions), ,,,,,,- 0 -,90 ,
92 , 9200,Ambulatory Surgical Center (Distinct Part),,,,,,,,92 ,
93 , 9300,Hospice,,,,,,,,93 ,
94 ,,Other Special Purpose (specify),,,,,,,,94 ,
95 , ,SUBTOTALS (sum of lines 1-94),,,,,,,,95 ,
,,SUBSECT_NAME:NONREIMBURSABLE COST CENTERS, , , , , , , ,,
96 , 9600,"Gift, Flower, Coffee Shop, & Canteen",,,,,,,,96 ,
97 , 9700,Research,,,,,,,,97 ,
98 , 9800,Physicians' Private Offices,,,,,,,,98 ,
99 , 9900,Nonpaid Workers,,,,,,,,99 ,
100 ,,Other Nonreimbursable (specify),,,,,,,,100 ,
101 , ,TOTAL (sum of lines 95-100), , , ,- 0 -, , , ,101 ,
,,,,,,,,,,,
"FORM CMS-2552-96 (9/96)  (INSTRUCTIONS FOR THIS WORKSHEET ARE PUBLISHED IN CMS PUB. 15-II, SECTION 3610)",,,,,,,,,,,















Rev. 20,,,,,,,,,,                 36-514












































































































































































































































































































































































